Age,Q(X),l(X),C(X),FB(X)
0,0.267,100.0,4.7,0.000
1,0.160,73.3,13.8,0.000
5,0.110,61.6,14.6,0.000
10,0.088,54.8,12.2,0.000
15,0.183,50.0,10.1,0.091
20,0.198,40.8,8.2,0.247
25,0.213,32.7,6.6,0.247
30,0.229,25.8,5.1,0.200
35,0.245,19.9,3.9,0.139
40,0.263,15.0,2.9,0.058
45,0.281,11.1,2.1,0.012
50,0.301,8.0,1.5,0.000
55,0.321,5.6,1.0,0.000
60,0.342,3.8,0.7,0.000
65,0.364,2.5,0.4,0.000
70,1.000,1.6,0.3,0.000
